category,subcategory
"Arte, Papelaria e Armarinho",Materiais Escolares
"Arte, Papelaria e Armarinho",Outros
Bebês,Alimentação e Amamentação
Bebês,Alimentos para Bebês
Bebês,Andadores e Mini Veículos
Bebês,Banho do Bebê
Bebês,Brinquedos para Bebês
Bebês,Cercadinho
Bebês,Chupetas e Mordedores
Bebês,Higiene e Cuidados com o Bebê
Bebês,Maternidade
Bebês,Outros
Bebês,Passeio do Bebê
Bebês,Quarto do Bebê
Bebês,Roupas de Bebê
Bebês,Saúde do Bebê
Bebês,Segurança para Bebê
Beleza e Cuidado Pessoal,Artefatos para Cabelo
Beleza e Cuidado Pessoal,Artigos para Cabeleireiros
Beleza e Cuidado Pessoal,Barbearia
Beleza e Cuidado Pessoal,Cuidados com a Pele
Beleza e Cuidado Pessoal,Cuidados com o Cabelo
Beleza e Cuidado Pessoal,Depilação
Beleza e Cuidado Pessoal,Farmácia
Beleza e Cuidado Pessoal,Higiene Pessoal
Beleza e Cuidado Pessoal,Manicure e Pedicure
Beleza e Cuidado Pessoal,Maquiagem
Beleza e Cuidado Pessoal,Outros
Beleza e Cuidado Pessoal,Perfumes
Beleza e Cuidado Pessoal,Tratamentos de Beleza
Brinquedos e Hobbies,Anti-stress e Engenho
Brinquedos e Hobbies,Ar Livre e Playground
Brinquedos e Hobbies,Artes e Atividades
Brinquedos e Hobbies,Bonecos e Bonecas
Brinquedos e Hobbies,Brinquedos Eletrônicos
Brinquedos e Hobbies,Brinquedos de Faz de Conta
Brinquedos e Hobbies,Brinquedos de Montar
Brinquedos e Hobbies,Brinquedos de Pegadinhas
Brinquedos e Hobbies,Brinquedos de Praia e Piscina
Brinquedos e Hobbies,Brinquedos para Bebês
Brinquedos e Hobbies,Casinhas e Barracas
Brinquedos e Hobbies,Fantoches e Marionetas
Brinquedos e Hobbies,Hobbies
Brinquedos e Hobbies,Instrumentos Musicais
Brinquedos e Hobbies,Jogos de Salão
Brinquedos e Hobbies,Jogos de Tabuleiro e Cartas
Brinquedos e Hobbies,Lançadores de Brinquedo
Brinquedos e Hobbies,Mesas e Cadeiras
Brinquedos e Hobbies,Mini Veículos e Bicicletas
Brinquedos e Hobbies,Outros
Brinquedos e Hobbies,Patins e Skates
Brinquedos e Hobbies,Pelúcias
Brinquedos e Hobbies,Piscinas de Bolas e Infláveis
Brinquedos e Hobbies,Veículos de Brinquedo
Brinquedos e Hobbies,Álbuns e Figurinhas
"Calçados, Roupas e Bolsas",Acessórios de Moda
"Calçados, Roupas e Bolsas",Agasalhos
"Calçados, Roupas e Bolsas",Bermudas e Shorts
"Calçados, Roupas e Bolsas",Blusas
"Calçados, Roupas e Bolsas",Calçados
"Calçados, Roupas e Bolsas",Calças
"Calçados, Roupas e Bolsas",Camisas
"Calçados, Roupas e Bolsas",Camisetas e Regatas
"Calçados, Roupas e Bolsas",Indumentária Laboral e Escolar
"Calçados, Roupas e Bolsas",Kimonos
"Calçados, Roupas e Bolsas",Kits de Conjuntos de Roupa
"Calçados, Roupas e Bolsas",Leggings
"Calçados, Roupas e Bolsas",Macacão
"Calçados, Roupas e Bolsas",Malas e Bolsas
"Calçados, Roupas e Bolsas",Moda Fitness
"Calçados, Roupas e Bolsas",Moda Praia
"Calçados, Roupas e Bolsas",Moda Íntima e Lingerie
"Calçados, Roupas e Bolsas",Outros
"Calçados, Roupas e Bolsas",Roupas para Bebês
"Calçados, Roupas e Bolsas",Saias
"Calçados, Roupas e Bolsas",Ternos
"Calçados, Roupas e Bolsas",Vestidos
Câmeras e Acessórios,Acessórios para Câmeras
Câmeras e Acessórios,Cabos
Câmeras e Acessórios,Câmeras
Câmeras e Acessórios,Drones e Acessórios
Câmeras e Acessórios,Equipamento de Revelação
Câmeras e Acessórios,Filmadoras
Câmeras e Acessórios,Instrumentos Ópticos 
Câmeras e Acessórios,Lentes e Filtros
Câmeras e Acessórios,Outros
Câmeras e Acessórios,Peças para Câmeras
Câmeras e Acessórios,Álbuns e Porta-retratos
"Carros, Motos e Outros",Caminhões
"Carros, Motos e Outros",Carros Antigos
"Carros, Motos e Outros",Carros e Caminhonetes
"Carros, Motos e Outros",Consórcios
"Carros, Motos e Outros",Motorhomes
"Carros, Motos e Outros",Motos
"Carros, Motos e Outros",Náutica
"Carros, Motos e Outros",Outros Veículos
"Carros, Motos e Outros",Veículos Pesados
"Carros, Motos e Outros",Ônibus
"Casa, Móveis e Decoração",Banheiros
"Casa, Móveis e Decoração","Camas, Colchões e Acessórios"
"Casa, Móveis e Decoração",Cozinha
"Casa, Móveis e Decoração",Cuidado da Casa e Lavanderia
"Casa, Móveis e Decoração",Enfeites e Decoração da Casa
"Casa, Móveis e Decoração",Iluminação Residencial
"Casa, Móveis e Decoração",Jardim e Ar Livre
"Casa, Móveis e Decoração",Móveis para Casa
"Casa, Móveis e Decoração",Organização para Casa
"Casa, Móveis e Decoração",Outros
"Casa, Móveis e Decoração",Segurança para Casa
"Casa, Móveis e Decoração",Têxteis de Casa e Decoração
Celulares e Telefones,Acessórios para Celulares
Celulares e Telefones,Celulares e Smartphones
Celulares e Telefones,Outros
Celulares e Telefones,Peças para Celular
Celulares e Telefones,Rádio Comunicadores
Celulares e Telefones,Smartwatches e Acessórios
Celulares e Telefones,Tarifadores e Cabines
Celulares e Telefones,Telefonia Fixa e Sem Fio
Celulares e Telefones,VoIP
Celulares e Telefones,Óculos de Realidade Virtual
Construção,Aberturas
Construção,Acessórios de Construção
Construção,Encanamento
Construção,Energia
Construção,Loja das Tintas
Construção,Materiais de Obra
Construção,Mobiliário para Banheiros
Construção,Mobiliário para Cozinhas
Construção,Máquinas para Construção
Construção,Outros
Construção,Pisos e Rejuntes
Eletrodomésticos,Ar e Ventilação
Eletrodomésticos,Bebedouros e Purificadores
Eletrodomésticos,Cuidado Pessoal
Eletrodomésticos,Fornos e Fogões
Eletrodomésticos,Lavadores
Eletrodomésticos,Outros
Eletrodomésticos,Pequenos Eletrodomésticos
Eletrodomésticos,Refrigeração
"Eletrônicos, Áudio e Vídeo",Acessórios para TV
"Eletrônicos, Áudio e Vídeo",Acessórios para Áudio e Vídeo
"Eletrônicos, Áudio e Vídeo",Aparelhos DVD e Bluray
"Eletrônicos, Áudio e Vídeo",Bolsas e Estojos
"Eletrônicos, Áudio e Vídeo",Cabos
"Eletrônicos, Áudio e Vídeo",Componentes Eletrônicos
"Eletrônicos, Áudio e Vídeo",Controles Remotos
"Eletrônicos, Áudio e Vídeo",Drones e Acessórios
"Eletrônicos, Áudio e Vídeo",Media Streaming
"Eletrônicos, Áudio e Vídeo",Outros Eletrônicos
"Eletrônicos, Áudio e Vídeo",Peças para TV
"Eletrônicos, Áudio e Vídeo",Pilhas e Carregadores
"Eletrônicos, Áudio e Vídeo",Projetores e Telas
"Eletrônicos, Áudio e Vídeo",Televisores
"Eletrônicos, Áudio e Vídeo",Áudio
Esportes e Fitness,Artes Marciais e Boxe
Esportes e Fitness,Badminton
Esportes e Fitness,Basquete
Esportes e Fitness,Beisebol e Softbol
Esportes e Fitness,"Camping, Caça e Pesca"
Esportes e Fitness,"Canoas, Caiaques e Infláveis"
Esportes e Fitness,Ciclismo
Esportes e Fitness,Equitação
Esportes e Fitness,Esgrima
Esportes e Fitness,Esqui e Snowboard
Esportes e Fitness,Fitness e Musculação
Esportes e Fitness,Futebol
Esportes e Fitness,Futebol Americano
Esportes e Fitness,Golfe
Esportes e Fitness,Handebol
Esportes e Fitness,Hóquei
Esportes e Fitness,Jogos de Salão
Esportes e Fitness,Kitesurf
Esportes e Fitness,Mergulho
Esportes e Fitness,Moda Fitness
Esportes e Fitness,Monitores Esportivos
Esportes e Fitness,Natação
Esportes e Fitness,Outros
Esportes e Fitness,Paintball
Esportes e Fitness,Parapente
Esportes e Fitness,Patinetes e Scooters
Esportes e Fitness,Patín e Skateboard
Esportes e Fitness,Pilates e Yoga
Esportes e Fitness,"Rapel, Montanhismo e Escalada"
Esportes e Fitness,Rugby
Esportes e Fitness,Slackline
Esportes e Fitness,Suplementos e Shakers
Esportes e Fitness,Surf e Bodyboard
Esportes e Fitness,Tiro Esportivo
Esportes e Fitness,Tênis
Esportes e Fitness,"Tênis, Paddle e Squash"
Esportes e Fitness,Vôlei
Esportes e Fitness,Wakeboard e Esquí Acuático
Esportes e Fitness,Windsurfe
Ferramentas,Acessórios para Ferramentas
Ferramentas,Caixas e Organizadores
Ferramentas,Ferramentas Elétricas
Ferramentas,Ferramentas Industriais
Ferramentas,Ferramentas Manuais
Ferramentas,Ferramentas Pneumáticas
Ferramentas,Ferramentas para Jardim
Ferramentas,Medições e Instrumentação
Ferramentas,Outros
Festas e Lembrancinhas,Artigos para Festas
Festas e Lembrancinhas,Convites
Festas e Lembrancinhas,Decoração de Festa
Festas e Lembrancinhas,Descartáveis para Festa
Festas e Lembrancinhas,Equipamento para Festas
Festas e Lembrancinhas,"Espuma, Serpentinas e Confete"
Festas e Lembrancinhas,Fantasias y Cosplay
Festas e Lembrancinhas,Garrafas
Festas e Lembrancinhas,Kits Imprimíveis para Festas
Festas e Lembrancinhas,Lembrancinhas
Festas e Lembrancinhas,Lembrancinhas para Fiestas
Festas e Lembrancinhas,Outros
Festas e Lembrancinhas,Plaquinhas para Festas
Games,Acessórios para Consoles
Games,Acessórios para PC Gaming
Games,Consoles
Games,Fliperamas e Arcade
Games,Outros
Games,Peças para Consoles
Games,Video Games
Imóveis,Apartamentos
Imóveis,Casas
Imóveis,Chácaras
Imóveis,Fazendas
Imóveis,Flat - Apart Hotel
Imóveis,Galpões
Imóveis,Lojas Comerciais
Imóveis,Outros Imóveis
Imóveis,Salas Comerciais
Imóveis,Sítios
Imóveis,Terrenos
Indústria e Comércio,Arquitetura e Desenho
Indústria e Comércio,Embalagem e Logística
Indústria e Comércio,Equipamento Médico
Indústria e Comércio,Equipamento para Comércios
Indústria e Comércio,Equipamento para Escritórios
Indústria e Comércio,Ferramentas Industriais
Indústria e Comércio,Gastronomia e Hotelaria
Indústria e Comércio,Gráfica e Impressão
Indústria e Comércio,Outros
Indústria e Comércio,Publicidade e Promoção
Indústria e Comércio,Segurança Laboral
Indústria e Comércio,Têxtil e Calçado
Indústria e Comércio,Uniformes e Roupa de Trabalho
Informática,Acessórios de Antiestática
Informática,Acessórios para PC Gaming
Informática,Armazenamento
Informática,Cabos e Hubs USB
Informática,Componentes para PC
Informática,Conectividade e Redes
Informática,Estabilizadores e No Breaks
Informática,Impressão
Informática,Leitores e Scanners
Informática,Limpeza de PCs
Informática,Monitores e Acessórios
Informática,Outros
Informática,PC de Mesa
Informática,Palms e Handhelds
Informática,Periféricos para PC
Informática,Portáteis e Acessórios
Informática,Projetores e Telas
Informática,Softwares
Informática,Tablets e Acessórios
Ingressos,Eventos Esportivos
Ingressos,Eventos a Benefício
Ingressos,Exposições
Ingressos,Ingressos de Coleção
Ingressos,Outros Ingressos
Ingressos,Shows
Ingressos,Teatro e Cultura
Instrumentos Musicais,Baterias e Percussão
Instrumentos Musicais,Caixas de Som
Instrumentos Musicais,Equipamento para DJs
Instrumentos Musicais,Estúdio de Gravação
Instrumentos Musicais,Instrumentos de Corda
Instrumentos Musicais,Instrumentos de Sopro
Instrumentos Musicais,Metrônomos
Instrumentos Musicais,Microfones e Amplificadores
Instrumentos Musicais,Outros
Instrumentos Musicais,Partituras e Letras
Instrumentos Musicais,Pedais e Acessórios
Instrumentos Musicais,Pianos e Teclados
Joias e Relógios,Acessórios Para Relógios
Joias e Relógios,Artigos de Joalharia
Joias e Relógios,Canetas e Lapiseiras de Luxo
Joias e Relógios,Joias e Bijuterias
Joias e Relógios,Outros
Joias e Relógios,Pedra Preciosa e Semipreciosa
Joias e Relógios,Piercings
Joias e Relógios,Porta Joias
Joias e Relógios,Relógios
"Livros, Revistas e Comics",Catálogos
"Livros, Revistas e Comics",Ebooks
"Livros, Revistas e Comics",Livros Físicos
"Livros, Revistas e Comics",Outros
"Livros, Revistas e Comics",Revistas
"Música, Filmes e Seriados",Conteúdo Esportivo
"Música, Filmes e Seriados",Cursos Completos
"Música, Filmes e Seriados",Filmes Físicos
"Música, Filmes e Seriados",Filmes Online
"Música, Filmes e Seriados",Música
"Música, Filmes e Seriados",Outros
"Música, Filmes e Seriados",Seriados
"Música, Filmes e Seriados",Seriados Online
"Música, Filmes e Seriados",Vídeos de Receitas e DIY
Saúde,Cuidado da Saúde
Saúde,Equipamento Médico
Saúde,Massagem
Saúde,Mobilidade
Saúde,Ortopedia
Saúde,Outros
Saúde,Suplementos Alimentares
Saúde,Terapias Alternativas
Serviços,Academia e Esportes
Serviços,Animais
Serviços,"Beleza, Estética e Bem Estar"
Serviços,Educação
Serviços,Festas e Eventos
Serviços,Gastronomia
Serviços,Gráficas e Impressão
Serviços,Lar
Serviços,Marketing e Internet
Serviços,Outros Profissionais
Serviços,Outros Serviços
Serviços,Saúde
Serviços,Suporte Técnico
Serviços,Vestuário
Serviços,Veículos e Transportes
Serviços,Viagens e Turismo
Mais Categorias,Adultos
Mais Categorias,Artigos para Fumadores
Mais Categorias,Birutas de Vento
Mais Categorias,Coberturas Estendidas
Mais Categorias,Criptomoedas
Mais Categorias,Equipamento para Tatuagens
Mais Categorias,Esoterismo e Ocultismo
Mais Categorias,Fornos Crematórios
Mais Categorias,Gift Cards
Mais Categorias,Kits de Criminalística
Mais Categorias,Licenças para Taxis
Mais Categorias,Outros
